"frostobs" "tobs" "indic" "name" "alti" "date" "flevap" "flir" "fllat" "hu1000" "hu2" "nb" "nc" "nh" "nm" "ntHm3" "nt" "pmer" "rrcv" "rrge" "sncv" "snge" "gradt1" "tprev" "ff" "month" "ddf"
"24" "0" 1.60000002384186 "13054001" "MARIGNANE" 9 2011-01-02 -0.109059957910631 9355.81307368023 -270994.558801622 96.9810872695597 83.1244009196489 7.35475114409747 0 0 0 7.70548085643714 7.35475114409747 1017.35473965055 0 0.0327311646240677 0 0 -1.54036076999637 3.20608550611234 3.47555330004802 "1" "N"
"25" "1" -1 "14137001" "CARPIQUET" 67 2011-01-02 0.00421352031284228 -576693.648319235 11127.7548898331 59.3934949155709 99.657488791352 3.26851064467817 0 2.63372972564763 0 4.09607558661155 4.77963255431512 1026.66319139004 0 0.00712763675925185 0 0.00134310273111588 -1.76228024461086 -3.66189908661395 1.61111349911035 "1" "S"
"26" "0" 3.70000004768372 "20004002" "AJACCIO" 5 2011-01-02 -0.0185316452098047 -735908.745206832 -48093.7448759072 81.2740435749789 88.4187421370939 0.0104246570554103 0 0 0 0 0.0104246570554103 1014.17959136963 0 0 0 0 -0.358463349875807 2.8720409845715 1.57395861452159 "1" "E"
"27" "1" -2.59999990463257 "21473001" "OUGES" 219 2011-01-02 -0.0426261870297821 -33741.1342031955 -114824.774746418 58.9584496584166 95.4748971114668 7.98592700259178 0 0 0 8 7.98592700259178 1026.23142541975 0 0.0043879041340915 0 0.0151153712372434 -4.23576359099752 -2.12993616533493 3.96354514830457 "1" "N"
"28" "1" -4.59999990463257 "25056001" "BESANCON" 307 2011-01-02 0.00788545101558924 -930658.714711584 20924.2318150848 36.1643681278998 97.7436601213299 1.11806044168043 0 0 0 0.564837979391996 1.11806044168043 1025.98580931615 0 0 0 0.000106349758439706 -0.976437531118108 -4.8297162009809 3.01183773375608 "1" "N"
"29" "0" 1.39999997615814 "31069001" "BLAGNAC" 151 2011-01-02 -0.0230967839131662 -139993.565344954 -58113.7084960938 92.1859944268865 88.7933819251504 7.40714352575355 0 0.968301478018024 0 8 7.50579019633346 1023.64978036666 0 0.0784890093837453 0 0 -7.47841051259304 2.11463298351089 1.54244900074333 "1" "W"
"30" "1" -1 "33281001" "MERIGNAC" 47 2011-01-02 0.0127490149694730 -495922.193129746 33846.5412354504 53.2329801080335 97.8854378778582 8 0 0 0 4.70170029697987 8 1024.49672503185 0 0.0091147778089144 0 0.00541017204523083 -0.596732854843152 -2.58652640320585 1.75598467494501 "1" "N"
"31" "1" -1.39999997615814 "34154001" "MAUGUIO" 2 2011-01-02 -0.132843662639267 -1132851.06194864 -328890.552479535 27.6991708663182 81.8138188240583 0 0 0.436544386835296 0 1.63701319015582 0.436544386835296 1019.66687488079 0 0 0 0 1.28272856352542 -0.672330635430783 1.85090509782152 "1" "N"
"32" "0" 0.300000011920929 "35281001" "SAINT-JACQUES-DE-LA-LANDE" 36 2011-01-02 -0.0164058633772796 -474011.147951261 -42454.9233398437 59.9620625375728 98.7193005586516 6.59240474282796 0 2.41860302293480 0 5.49798707150694 7.02190098154006 1027.16501823744 0 0.00545760492613566 0 0.00764344097017755 0.876884840428832 -4.29407902959122 1.77148098509401 "1" "E"
"33" "1" -3.40000009536743 "44020001" "BOUGUENAIS" 26 2011-01-02 -0.0254480461768213 -128100.116546122 -66891.1975845172 45.1561461443971 98.3490995843577 8 0 2.95406369864940 0 8 8 1026.83768486463 0 0.014562205340205 2.15641743164248e-05 0.0282056200274851 -0.451372365257957 -3.54478807265377 2.44979408698259 "1" "E"
"34" "1" -2.5 "45055001" "BRICY" 125 2011-01-02 -0.031485992949456 -47548.0880031707 -79911.79638944 82.2118129783086 97.9506170263315 8 0 0.0625 0 8 8 1027.24668058629 0 0.0231553879462680 0 0.0456190300083223 -3.83352657428284 -1.63651376345851 1.93839670453382 "1" "E"
"35" "0" 0.300000011920929 "51183001" "COURCY" 91 2011-01-02 -0.00878603046817267 -31377.7250757218 -23787.9851183893 81.5621767109407 98.955758714203 8 0 0.253854751586916 0.0327863239508597 8 8 1027.21785827637 0 0.0234635472297668 0 0.00877567451561856 -4.44519968263921 -1.35460452340192 1.54237904124422 "1" "N"
"37" "1" -3.29999995231628 "54526001" "TOMBLAINE" 212 2011-01-02 -0.00294788557418033 -590605.432432186 -7902.08422315955 71.2619151361309 99.1468064952642 5.32014218171622 0 0 0 5.87151928875305 5.32014218171622 1027.46802458763 0 0.00232194889748881 0 0.00640216795727608 -1.02770174178934 -5.82201238307401 0.956788910374215 "1" "C"
"38" "0" 1.5 "59343001" "LESQUIN" 47 2011-01-02 -0.0222436827700536 -4407.72690922424 -56002.6394140576 87.771146463931 98.4353620654433 8 0 1.79890588700755 1.54312479257714 7.99781258463827 8 1026.59880028124 0 0.0090478502772697 0 0.00161865086294453 -4.84784513130796 -0.127416496872797 2.82524830661042 "1" "W"
"39" "1" -4.09999990463257 "63113001" "CLERMONT-FERRAND" 331 2011-01-02 -0.0525865875380305 -133025.884939192 -138025.294319034 23.8689772870573 98.3676613008726 7.81656251454845 0 0 0 7.95414062863711 7.81656251454845 1026.71660619508 0 0.0103409159571583 0 0.0509754507399402 -0.217761778232689 -4.10235839600352 1.51566889588661 "1" "N"
"40" "1" -9 "67124001" "ENTZHEIM" 150 2011-01-02 7.6840338351758e-05 -704777.094342709 514.152451515198 81.1546133831143 98.5326544024133 0.546418013516814 0 0.205706913169706 0 0.987890798744047 0.720814450032776 1026.59127118411 0 0.000588516360039648 0 0.000246584415435791 0.725663048782735 -7.06598477349905 0.560690844840968 "1" "C"
"41" "1" -1.60000002384186 "69029001" "BRON" 197 2011-01-02 -0.0709458396752825 -77028.4506399559 -183828.989160002 56.5983047727881 94.1734429385704 8 0 0 0 8 8 1025.26747318418 0 0.0273073906012941 0 0.11491346139912 -2.20009211610387 -2.85211779869212 4.15083822790382 "1" "N"
"42" "0" 2.20000004768372 "75114001" "PARIS-14E" 75 2011-01-02 -0.0239168363623322 -45332.6649632193 -59683.2306931467 81.742721622653 98.7121978774667 8 0 2.29412020178598 0.489896118640901 8 8 1027.2654418087 0 0.0231190889796407 0 0.0173345763721675 -4.10148509883526 -1.36061387325276 1.43357835719874 "1" "N"
"43" "1" -0.800000011920929 "76116001" "BOOS" 151 2011-01-02 -0.0254610139128095 -288241.037177955 -67966.963342592 78.3324147772803 98.445319570168 8 0 4.43320146313865 1.08951877858022 8 8 1027.77437033121 0 0.00724413736592313 0 0.0235802952127048 -0.99777644872666 -5.40605267107708 0.673537415341327 "1" "C"
"44" "0" 0.400000005960464 "80001001" "ABBEVILLE" 70 2011-01-02 -0.0177555546859624 -81279.2882581497 -45027.2441885773 78.9240810321743 93.3798814938627 7.5038762867298 0 3.65275994240984 1.24677020311356 7.94453481137498 7.7373061001199 1027.02922465324 0 0 0 0.000639158929757869 -5.57631226107287 -0.304368273913844 0.946562425352143 "1" "C"
"45" "1" -4 "86027001" "BIARD" 123 2011-01-02 -0.0469024315759525 -47294.8344643406 -121091.4375 48.0439279733134 98.554578194307 8 0 0 0 8 8 1026.55990901649 0 0.0196344197928848 3.01077961921761e-05 0.0581997671013742 -2.28456115836952 -2.97097283886231 3.32643301696848 "1" "E"
"46" "1" -3 "87085006" "LIMOGES" 402 2011-01-02 -4.27707836011208e-05 -913738.365151329 -1228.05669765193 8.67420180602154 93.138809161682 0.839986832690123 0 0 0 1.55996847818373 0.839986832690123 1025.03431847466 0 0 0 0 2.59341505118744 -4.24966994148747 3.86404188269434 "1" "E"
"47" "0" 6.80000019073486 "13054001" "MARIGNANE" 9 2011-01-03 -0.0570080882764614 -79810.4366363735 -140623.818400949 100 89.8830852529436 7.91740967839178 0 8 6.11736717117128 8 8 1018.30347327187 0 0.188555982789125 0 0 -5.49482492891638 6.01979966558712 3.23249119757797 "1" "E"
"48" "0" 1 "14137001" "CARPIQUET" 67 2011-01-03 -0.125539973365578 -462590.6703637 -329986.159267233 82.6279332819084 86.5894524460669 3.96297595112587 0 0.0780838040914745 0 5.85818357228304 3.99105956448248 1018.22825927959 0 0 0 0.000342446521535133 -4.24742697387005 -0.345186448679188 5.93536416801567 "1" "S"
"49" "0" 6.59999990463257 "20004002" "AJACCIO" 5 2011-01-03 0.00131421056471494 -519399.861114978 3643.0731406215 93.767618792026 91.8540346339342 2.36210991971895 0 5.39665551643702 0.591583340865335 4.43547378689983 6.2020831539121 1018.56714698059 0 0.0064697347288533 0 0 -4.15963898532936 4.00404781233519 1.60654169086572 "1" "E"
